,app_nums,overdue_nums,app_nums/overdue_nums
cn.ncgba108,1,1,1.0
cn.net.cyberway,1,0,0.0
cn.net.dacaishen,1,0,0.0
cn.nimostudio.chengyu.two.android,2,0,0.0
cn.ninegame.gamemanager,19,5,0.2631578947368421
cn.nineton.sywsxj,1,1,1.0
cn.nineton.wsgj,1,0,0.0
cn.niumfpos,1,1,1.0
cn.nova.phone,2,0,0.0
cn.nubia.accounts,10,0,0.0
cn.nubia.advanced,4,0,0.0
cn.nubia.aftersale,10,0,0.0
cn.nubia.alipayauthprovider,1,0,0.0
cn.nubia.antivirus,5,0,0.0
cn.nubia.applockmanager,10,0,0.0
cn.nubia.apps,5,0,0.0
cn.nubia.appsettingsinfoproviders,10,0,0.0
cn.nubia.autoagingtest,9,0,0.0
cn.nubia.bbs,8,0,0.0
cn.nubia.behaviordetection,5,0,0.0
cn.nubia.bluetooth.opp,5,0,0.0
cn.nubia.bootanimationinfo,10,0,0.0
cn.nubia.browser,10,0,0.0
cn.nubia.calculator2.preset,10,0,0.0
cn.nubia.calendar.preset,10,0,0.0
cn.nubia.clock.widget.preset,10,0,0.0
cn.nubia.cloud,10,0,0.0
cn.nubia.contacts,10,0,0.0
cn.nubia.controlcenter,5,0,0.0
cn.nubia.databackup,10,0,0.0
cn.nubia.dataregister,1,0,0.0
cn.nubia.deskclock.preset,10,0,0.0
cn.nubia.edge,10,0,0.0
cn.nubia.email,10,0,0.0
cn.nubia.error.dialog,10,0,0.0
cn.nubia.exchange,10,0,0.0
cn.nubia.factory,10,0,0.0
cn.nubia.festivalwallpaper,9,0,0.0
cn.nubia.fileobserver,5,0,0.0
cn.nubia.fingerprints,1,0,0.0
cn.nubia.fingerprints.service,1,0,0.0
cn.nubia.flycow,10,0,0.0
cn.nubia.fmradio.preset,5,0,0.0
cn.nubia.forbid.selfstart.provider,10,0,0.0
cn.nubia.frameworkdatastatisticsservice,5,0,0.0
cn.nubia.freesnapshots,1,0,0.0
cn.nubia.gallery3d,10,0,0.0
cn.nubia.gallerylockscreen,10,0,0.0
cn.nubia.harassintercept,10,0,0.0
cn.nubia.hybrid,5,0,0.0
cn.nubia.jobdispatcher,10,0,0.0
cn.nubia.launcher,10,0,0.0
cn.nubia.minilauncher,10,0,0.0
