,app_nums,overdue_nums,app_nums/overdue_nums
cn.apppark.ckj10707090,2,0,0.0
cn.apps123.shell.zhangshangqiaopai,1,0,0.0
cn.appsoft.dizigui,1,0,0.0
cn.appsoft.sanzijing,1,0,0.0
cn.appsoft.tangshi,1,0,0.0
cn.artimen.appring,15,3,0.2
cn.baidaibao,3,2,0.6666666666666666
cn.baifuwallet,3,2,0.6666666666666666
cn.bangbeipay,1,0,0.0
cn.banshenggua.aichang,9,1,0.1111111111111111
cn.bbmoney,1,0,0.0
cn.bczp.activity,2,0,0.0
cn.beekee.zhongtong,1,0,0.0
cn.bevol.p,3,0,0.0
cn.bh.hzhh,6,1,0.16666666666666666
cn.bianjieshidai,16,8,0.5
cn.bluecrane.calendar,2,0,0.0
cn.bluecrane.private_album,2,0,0.0
cn.bluemobi.wendu,1,1,1.0
cn.bmkp.app,1,1,1.0
cn.bmob.knowledge,1,1,1.0
cn.boccfc.loan.apple,2,1,0.5
cn.boccfc.loan.wallet,346,85,0.24566473988439305
cn.bolz.mobilebank.liuzhou,2,0,0.0
cn.bookse.BaoHuang.vivo,1,1,1.0
cn.bookse.BookseFuZhouMajiang.vivo,1,0,0.0
cn.buding.martin,26,5,0.19230769230769232
cn.caiduoduo,1,0,0.0
cn.caima.youyidai,2,0,0.0
cn.caiyu.app.assistant,2,0,0.0
cn.caocaokeji.user,25,3,0.12
cn.carrefour.app.mobile,2,0,0.0
cn.cash365.android,20,4,0.2
cn.cashfree.dkl,1,0,0.0
cn.cashfree.loan,17,2,0.11764705882352941
cn.cashfree.xianjindai,2,2,1.0
cn.catcap.tower,1,0,0.0
cn.cellapp.jinfanyici,1,0,0.0
cn.cellapp.pinyin,1,0,0.0
cn.cfqbpos,1,0,0.0
cn.charge,1,0,0.0
cn.chinabus.main,1,0,0.0
cn.chinahrms.insurance.affair,1,1,1.0
cn.chinapost.jdpt.pda.pickup,2,1,0.5
cn.cisc,1,1,1.0
cn.cityhouse.fytpersonal,1,0,0.0
cn.cj.pe,67,15,0.22388059701492538
cn.cntv,46,12,0.2608695652173913
cn.cntv.zongyichunwan,1,0,0.0
cn.cntvnews,2,0,0.0
cn.code.notes,1,0,0.0
cn.colorv,12,0,0.0
